Ref Id,Course Name,Level,Duration (Weeks),Start,Fees,Age,Occupation,Education Background,Country,Rating,Complete or Not,Reason for Doing Course,Total Time Spent (Hours),Skills Gained,Did this course meet your expectations?,Did this course help you improve your skills?,Did you gain practical knowledge from this course?,Did the course content effectively cover the topics it promised?,Did this course help you improve your skills?,Were the materials and resources provided sufficient?,Would you recommend this course to others?,Did the course length feel appropriate for the content covered?,Did you experience any technical issues during the course?,Do you believe the course provided good value for the cost?,Would you recommend this course to others?
202210F,Machine Learning,Intermediate,6,01-10-2022,6499,31,Job,High School,Germany,1,Yes,Promotion,36,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
202203M,Data Science,Advanced,6,01-03-2022,8499,25,Fresher,High School,India,2,No,Job,36,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,No,Yes,No,,Yes,No,,,,
202312F,Machine Learning,Basic,4,15-12-2023,4499,30,Business,Master's,India,5,Yes,Devlopment,31,"Azure, Pytorch, Chat Gpt",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202302M,Data Science,Advanced,6,15-02-2023,8499,32,Job,High School,Germany,3,Yes,Change in field,51,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
202409F,Web Development,Advanced,6,15-09-2024,8499,27,Business,Bachelor's,India,5,Yes,Promotion,30,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202205F,Web Development,Advanced,6,01-05-2022,8499,32,Business,Master's,India,5,No,Devlopment,30,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",,,,,,,,,,,
202204F,Web Development,Basic,4,01-04-2022,4499,37,Business,Master's,Canada,2,Yes,Job,49,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
202202M,Data Science,Basic,4,01-02-2022,4499,28,Business,Bachelor's,India,4,Yes,Devlopment,47,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No
202404M,Data Science,Basic,4,15-04-2024,4499,27,Fresher,Bachelor's,India,4,No,Promotion,19,"Tableau, Advanced Mathematics, Excel",,,,,,,,,,,
202201F,Data Analyst,Basic,4,15-01-2022,4499,31,Business,Master's,India,5,Yes,Change in field,23,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202304F,Data Analyst,Intermediate,6,15-04-2023,6499,20,Student,Master's,Canada,1,No,Job,35,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,,,,
202206F,Digital Marketing,Basic,4,01-06-2022,4499,30,Business,Master's,India,4,No,Devlopment,36,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",,,,,,,,,,,
202401M,Digital Marketing,Basic,4,15-01-2024,4499,30,Business,High School,India,4,No,Promotion,33,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",,,,,,,,,,,
202301M,Data Analyst,Advanced,6,15-01-2023,8499,18,Student,Master's,India,5,No,Job,35,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",,,,,,,,,,,
202303F,Data Science,Basic,4,15-03-2023,4499,28,Job,Bachelor's,India,2,Yes,Curiosity,28,"Tableau, Advanced Mathematics, Excel",No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
202202M,Data Science,Basic,4,15-02-2022,4499,32,Business,High School,Germany,4,No,Devlopment,34,"Tableau, Advanced Mathematics, Excel",,,,,,,,,,,
202211F,Data Science,Intermediate,6,01-11-2022,6499,18,Student,High School,India,5,Yes,Job,51,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
